timestamp,key,count
2025-05-28T21:31:33.740821,inside,1
2025-05-28T21:31:33.740836,total,1
2025-05-28T21:31:34.405278,outside,1
2025-05-28T21:31:34.405292,total,2
2025-05-28T21:31:34.828919,inside,2
2025-05-28T21:31:34.828935,total,3
2025-05-28T21:32:28.417979,outside,2
2025-05-28T21:32:28.417999,total,4
2025-05-28T21:32:48.346414,inside,3
2025-05-28T21:32:48.346430,total,5
2025-05-28T21:32:52.596833,outside,3
2025-05-28T21:32:52.596846,total,6
2025-05-28T21:32:53.024617,inside,4
2025-05-28T21:32:53.024631,total,7
2025-05-28T21:32:55.054819,outside,4
2025-05-28T21:32:55.054832,total,8
2025-05-28T21:35:37.060450,inside,1
2025-05-28T21:35:37.060464,total,1
2025-05-28T21:35:46.788913,outside,1
2025-05-28T21:35:46.788928,total,2
2025-05-28T21:36:03.620336,inside,2
2025-05-28T21:36:03.620348,total,3
2025-05-28T21:36:51.112213,outside,2
2025-05-28T21:36:51.112226,total,4
2025-05-28T21:37:14.760085,outside,3
2025-05-28T21:37:14.760108,total,5
2025-05-28T21:37:23.209509,inside,3
2025-05-28T21:37:23.209522,total,6
2025-05-28T21:37:26.824421,inside,4
2025-05-28T21:37:26.824435,total,7
2025-05-28T21:37:32.437163,outside,4
2025-05-28T21:37:32.437176,total,8
2025-05-28T21:38:23.224730,outside,5
2025-05-28T21:38:23.224745,total,9
2025-05-28T21:39:08.213293,inside,5
2025-05-28T21:39:08.213311,total,10
2025-05-28T21:39:09.189939,outside,6
2025-05-28T21:39:09.189952,total,11
2025-05-28T21:39:09.484748,inside,6
2025-05-28T21:39:09.484763,total,12
2025-05-28T21:39:10.320535,outside,7
2025-05-28T21:39:10.320553,total,13
2025-05-28T21:40:14.527411,inside,7
2025-05-28T21:40:14.527424,total,14
2025-05-28T21:41:57.113570,inside,8
2025-05-28T21:41:57.113585,total,15
2025-05-28T21:51:19.121555,outside,1
2025-05-28T21:51:19.121570,total,1
2025-05-28T21:51:26.408907,inside,1
2025-05-28T21:51:26.408922,total,2
2025-05-28T21:51:41.805803,inside,2
2025-05-28T21:51:41.805819,total,3
2025-05-28T21:51:44.372974,inside,3
2025-05-28T21:51:44.372989,total,4
2025-05-28T21:51:48.557816,outside,2
2025-05-28T21:51:48.557828,total,5
2025-05-28T21:51:49.877660,inside,4
2025-05-28T21:51:49.877674,total,6
2025-05-28T21:51:50.730387,outside,3
2025-05-28T21:51:50.730402,total,7
2025-05-28T21:52:33.382166,inside,5
2025-05-28T21:52:33.382178,total,8
2025-05-28T21:52:52.097399,outside,4
2025-05-28T21:52:52.097414,total,9
2025-05-28T21:52:57.977702,inside,6
2025-05-28T21:52:57.977717,total,10
2025-05-28T21:53:35.331105,inside,7
2025-05-28T21:53:35.331120,total,11
2025-05-28T21:53:36.064868,outside,5
2025-05-28T21:53:36.064885,total,12
2025-05-28T21:54:32.543706,inside,8
2025-05-28T21:54:32.543720,total,13
2025-05-28T21:54:33.134148,outside,6
2025-05-28T21:54:33.134162,total,14
2025-05-28T21:54:34.714007,inside,9
2025-05-28T21:54:34.714017,total,15
2025-05-28T21:54:36.261048,outside,7
2025-05-28T21:54:36.261062,total,16
2025-05-28T21:54:37.515033,inside,10
2025-05-28T21:54:37.515046,total,17
2025-05-28T22:07:42.267132,outside,1
2025-05-28T22:07:42.267149,total,1
2025-05-28T22:07:51.925184,inside,1
2025-05-28T22:07:51.925199,total,2
2025-06-02T17:37:18.548219,outside,1
2025-06-02T17:37:18.548233,total,1
2025-06-02T17:37:18.832666,inside,1
2025-06-02T17:37:18.832683,total,2
2025-06-02T17:37:44.678927,inside,2
2025-06-02T17:37:44.678940,total,3
2025-06-02T17:39:14.648060,inside,3
2025-06-02T17:39:14.648074,total,4
2025-06-02T17:39:31.195719,inside,4
2025-06-02T17:39:31.195733,total,5
2025-06-02T18:06:09.785458,outside,1
2025-06-02T18:06:09.785473,total,1
2025-06-02T18:06:10.367463,inside,1
2025-06-02T18:06:10.367477,total,2
2025-06-02T18:06:10.941181,outside,2
2025-06-02T18:06:10.941194,total,3
2025-06-02T18:06:11.893128,inside,2
2025-06-02T18:06:11.893143,total,4
2025-06-02T18:06:12.458353,outside,3
2025-06-02T18:06:12.458367,total,5
2025-06-02T18:06:12.748207,inside,3
2025-06-02T18:06:12.748222,total,6
2025-06-02T18:06:13.876256,outside,4
2025-06-02T18:06:13.876270,total,7
2025-06-02T18:06:15.014409,inside,4
2025-06-02T18:06:15.014422,total,8
2025-06-02T18:06:15.306601,outside,5
2025-06-02T18:06:15.306614,total,9
2025-06-02T18:06:15.597449,inside,5
2025-06-02T18:06:15.597460,total,10
2025-06-02T18:06:15.880870,outside,6
2025-06-02T18:06:15.880883,total,11
2025-06-02T18:06:29.897743,outside,7
2025-06-02T18:06:29.897758,total,12
