timestamp,key,count
2025-05-27T21:16:44.592072,total,1
2025-05-27T21:16:44.592072,total,2
2025-05-27T21:16:44.682025,total,3
2025-05-27T21:16:44.682025,total,4
2025-05-27T21:16:57.205729,total,5
2025-05-27T21:16:57.205729,total,6
2025-05-27T21:16:57.657355,total,7
2025-05-27T21:16:57.657355,total,8
2025-05-27T21:16:57.753376,total,9
2025-05-27T21:16:57.753376,total,10
2025-05-27T21:16:57.938424,total,11
2025-05-27T21:16:57.938424,total,12
2025-05-27T21:17:09.612216,total,13
2025-05-27T21:17:09.612216,total,14
2025-05-27T21:17:54.694595,outside,1
2025-05-27T21:17:54.694595,total,1
2025-05-27T21:17:56.555683,inside,1
2025-05-27T21:17:56.555683,total,2
2025-05-27T21:17:56.858248,outside,2
2025-05-27T21:17:56.858248,total,3
2025-05-27T21:17:58.472192,inside,2
2025-05-27T21:17:58.472192,total,4
2025-05-27T21:17:58.761518,outside,3
2025-05-27T21:17:58.761518,total,5
2025-05-27T21:18:04.944313,inside,3
2025-05-27T21:18:04.944313,total,6
2025-05-27T21:18:05.450920,outside,4
2025-05-27T21:18:05.450920,total,7
2025-05-27T21:18:06.645710,inside,4
2025-05-27T21:18:06.645710,total,8
2025-05-27T21:18:06.937244,outside,5
2025-05-27T21:18:06.937244,total,9
2025-05-27T21:18:11.382321,outside,6
2025-05-27T21:18:11.382321,total,10
2025-05-27T21:22:53.458906,outside,1
2025-05-27T21:22:53.458906,total,1
2025-05-27T21:22:55.145325,inside,1
2025-05-27T21:22:55.145325,total,2
2025-05-27T21:22:56.159913,outside,2
2025-05-27T21:22:56.159913,total,3
2025-05-27T21:22:56.923922,inside,2
2025-05-27T21:22:56.923922,total,4
2025-05-27T21:23:01.437827,outside,3
2025-05-27T21:23:01.437827,total,5
2025-05-27T21:23:05.849529,inside,3
2025-05-27T21:23:05.849529,total,6
2025-05-27T21:23:06.930635,inside,4
2025-05-27T21:23:06.930635,total,7
2025-05-27T21:23:07.229659,outside,4
2025-05-27T21:23:07.229659,total,8
2025-05-27T21:23:08.041069,inside,5
2025-05-27T21:23:08.041069,total,9
2025-05-27T21:23:08.434360,outside,5
2025-05-27T21:23:08.434360,total,10
2025-05-27T21:23:09.405073,outside,6
2025-05-27T21:23:09.405073,total,11
2025-05-27T21:23:09.591949,inside,6
2025-05-27T21:23:09.591949,total,12
2025-05-27T21:23:10.361053,inside,7
2025-05-27T21:23:10.361053,total,13
2025-05-27T21:23:11.610848,outside,7
2025-05-27T21:23:11.610848,total,14
2025-05-27T21:23:12.666398,inside,8
2025-05-27T21:23:12.666398,total,15
2025-05-27T21:23:15.361297,outside,8
2025-05-27T21:23:15.361297,total,16
2025-05-27T21:30:15.656553,inside,1
2025-05-27T21:30:15.656553,total,1
2025-05-27T21:30:16.218702,outside,1
2025-05-27T21:30:16.218702,total,2
2025-05-27T21:30:17.017904,inside,2
2025-05-27T21:30:17.017904,total,3
2025-05-27T21:30:17.629258,outside,2
2025-05-27T21:30:17.629258,total,4
2025-05-27T21:30:21.983745,inside,3
2025-05-27T21:30:21.983745,total,5
2025-05-27T21:30:22.698499,outside,3
2025-05-27T21:30:22.698499,total,6
2025-05-27T21:30:24.524726,inside,4
2025-05-27T21:30:24.524726,total,7
2025-05-27T21:30:27.144047,outside,4
2025-05-27T21:30:27.144047,total,8
2025-05-27T21:30:29.941090,inside,5
2025-05-27T21:30:29.941090,total,9
2025-05-27T21:30:30.434635,outside,5
2025-05-27T21:30:30.434635,total,10
2025-05-27T21:30:30.635607,inside,6
2025-05-27T21:30:30.635607,total,11
2025-05-27T21:30:31.227678,outside,6
2025-05-27T21:30:31.227678,total,12
2025-05-27T21:35:46.389933,outside,1
2025-05-27T21:35:46.389933,total,1
2025-05-27T21:35:49.341136,inside,1
2025-05-27T21:35:49.341136,total,2
2025-05-27T21:35:51.088720,outside,2
2025-05-27T21:35:51.088720,total,3
2025-05-27T21:35:55.419462,inside,2
2025-05-27T21:35:55.419462,total,4
2025-05-27T21:35:56.225804,outside,3
2025-05-27T21:35:56.225804,total,5
2025-05-27T21:36:05.947833,inside,3
2025-05-27T21:36:05.947833,total,6
2025-05-27T21:36:06.568431,outside,4
2025-05-27T21:36:06.568431,total,7
2025-05-27T21:36:07.572213,inside,4
2025-05-27T21:36:07.572213,total,8
2025-05-27T21:36:08.385426,outside,5
2025-05-27T21:36:08.385426,total,9
2025-05-27T21:36:08.697952,inside,5
2025-05-27T21:36:08.697952,total,10
2025-05-27T21:36:09.191230,outside,6
2025-05-27T21:36:09.191230,total,11
2025-05-27T21:43:56.561841,outside,1
2025-05-27T21:43:56.561841,total,1
2025-05-27T21:43:57.191442,inside,1
2025-05-27T21:43:57.191442,total,2
2025-05-27T21:44:02.901674,inside,2
2025-05-27T21:44:02.901674,total,3
2025-05-27T21:44:04.431344,outside,2
2025-05-27T21:44:04.431344,total,4
2025-05-27T21:44:04.744598,outside,3
2025-05-27T21:44:04.744598,total,5
2025-05-27T21:44:07.299081,inside,3
2025-05-27T21:44:07.299081,total,6
2025-05-27T21:44:08.132848,inside,4
2025-05-27T21:44:08.132848,total,7
2025-05-27T21:45:27.582474,outside,4
2025-05-27T21:45:27.582474,total,8
2025-05-27T21:45:32.547106,inside,5
2025-05-27T21:45:32.547106,total,9
2025-05-27T21:51:00.803937,inside,1
2025-05-27T21:51:00.803937,total,1
2025-05-27T21:51:02.505303,outside,1
2025-05-27T21:51:02.505303,total,2
2025-05-27T21:51:02.747606,inside,2
2025-05-27T21:51:02.747606,total,3
2025-05-27T21:51:06.755246,inside,3
2025-05-27T21:51:06.755246,total,4
2025-05-27T21:51:08.685918,outside,2
2025-05-27T21:51:08.685918,total,5
2025-05-27T21:51:10.269634,inside,4
2025-05-27T21:51:10.269634,total,6
2025-05-27T21:51:15.366894,outside,3
2025-05-27T21:51:15.366894,total,7
